Треугольник 1: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 2: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 3: стороны = 4, 5, 6, периметр = 15, площадь = 9.92157
Треугольник 1: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 2: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 3: стороны = 4, 5, 6, периметр = 15, площадь = 9.92157
Треугольник 1: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 2: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 3: стороны = 4, 5, 6, периметр = 15, площадь = 9.92157
Треугольник 1: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 2: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 3: стороны = 4, 5, 6, периметр = 15, площадь = 9.92157
Треугольник 4: стороны = 5, 6, 7, периметр = 18, площадь = 14.6969
Треугольник 1: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 2: стороны = 3, 2, 3, периметр = 8, площадь = 2.82843
Треугольник 3: стороны = 4, 5, 6, периметр = 15, площадь = 9.92157
Треугольник 4: стороны = 5, 6, 7, периметр = 18, площадь = 14.6969
